Item_Store_ID,Item_Store_Returns
DRA59_BABATUNJI010,3496.528077101556
DRA59_BABATUNJI013,6926.324769568024
DRB01_BABATUNJI013,7281.45914324666
DRB13_BABATUNJI010,3886.0836629604396
DRB13_BABATUNJI013,6408.779185429344
DRB25_BABATUNJI017,4679.026794013449
DRB25_BABATUNJI027,8657.303049398124
DRB25_BABATUNJI035,4956.583271657837
DRB48_BABATUNJI017,4080.6953869889126
DRB48_BABATUNJI027,8380.463655294854
DRB48_BABATUNJI035,3792.017255515243
DRB48_BABATUNJI046,3535.059765490162
DRB48_BABATUNJI049,3516.598317575162
DRC01_BABATUNJI017,4116.262521185247
DRC01_BABATUNJI018,3037.545315288576
DRC01_BABATUNJI027,8508.347620189472
DRC01_BABATUNJI045,3946.881567137908
DRC01_BABATUNJI046,3424.4388039247
DRC13_BABATUNJI035,5383.996469914819
DRC13_BABATUNJI045,5253.093026445311
DRC25_BABATUNJI018,3415.2581581059944
DRC25_BABATUNJI019,1418.8253755413723
DRC25_BABATUNJI027,8855.36646471287
DRC25_BABATUNJI045,4259.926593478942
DRC25_BABATUNJI046,3926.012348723771
DRC27_BABATUNJI010,4482.661787974323
DRC27_BABATUNJI018,7362.818309195759
DRC27_BABATUNJI049,8985.874900436542
DRC36_BABATUNJI013,6588.802782512741
DRD01_BABATUNJI017,4035.5749621467885
DRD01_BABATUNJI018,2698.8259453349965
DRD01_BABATUNJI035,3758.037814993759
DRD01_BABATUNJI045,3969.7067046916795
DRD01_BABATUNJI049,3526.1488034341237
DRD12_BABATUNJI017,4251.573129051119
DRD12_BABATUNJI018,3389.4709765121092
DRD12_BABATUNJI027,9010.661418208878
DRD12_BABATUNJI035,4160.265332664548
DRD12_BABATUNJI045,4196.947780596126
DRD12_BABATUNJI046,3770.099882669594
DRD13_BABATUNJI017,4172.870910715892
DRD13_BABATUNJI018,2915.309042326918
DRD13_BABATUNJI027,8397.710675070717
DRD13_BABATUNJI035,4246.857207737698
DRD13_BABATUNJI045,4045.4195781281437
DRD13_BABATUNJI049,3567.4307269585306
DRD15_BABATUNJI010,4796.508326551679
DRD15_BABATUNJI013,7570.96460157847
DRD15_BABATUNJI046,8593.725938441745
DRD15_BABATUNJI049,9085.05664420072
DRD24_BABATUNJI027,9742.109667548935
DRD25_BABATUNJI027,8928.301115922959
DRD25_BABATUNJI035,4779.957967741371
DRD25_BABATUNJI045,4667.335041869854
DRD27_BABATUNJI017,4901.354036577468
DRD27_BABATUNJI019,1463.443602038335
DRD27_BABATUNJI045,5050.38682609342
DRD37_BABATUNJI017,4178.141807776772
DRD37_BABATUNJI018,2887.2776747378184
DRD37_BABATUNJI045,3993.6512310514127
DRD37_BABATUNJI046,3444.1087960879217
DRD37_BABATUNJI049,3620.4657885862644
DRD49_BABATUNJI046,8785.62117338205
DRD60_BABATUNJI013,6822.472104374979
DRE01_BABATUNJI010,4837.762273652258
DRE01_BABATUNJI046,8527.986898389843
DRE03_BABATUNJI017,4167.882991984688
DRE03_BABATUNJI018,2826.6209561213936
DRE03_BABATUNJI035,4136.462944609081
DRE03_BABATUNJI045,4060.906204922884
DRE03_BABATUNJI046,3264.131134411119
DRE03_BABATUNJI049,3668.9724756988608
DRE12_BABATUNJI027,8741.543924837422
DRE12_BABATUNJI035,4903.721101512181
DRE12_BABATUNJI045,4848.622010348359
DRE13_BABATUNJI027,8501.500151247208
DRE13_BABATUNJI035,4121.244127338739
DRE13_BABATUNJI045,4332.5673650001045
DRE13_BABATUNJI049,3923.8562449351057
DRE15_BABATUNJI017,4548.760379862151
DRE15_BABATUNJI018,3025.2973422282694
DRE15_BABATUNJI019,1513.4478316621885
DRE15_BABATUNJI027,8285.619631791118
DRE15_BABATUNJI045,4331.529414900872
DRE15_BABATUNJI046,3437.1639965207664
DRE25_BABATUNJI017,4459.442225710639
DRE25_BABATUNJI027,8073.055852132643
DRE25_BABATUNJI035,4601.538618809321
DRE27_BABATUNJI035,4367.820581601807
DRE27_BABATUNJI045,4270.241768738287
DRE48_BABATUNJI013,7356.1939033288
DRE48_BABATUNJI046,8276.209166132561
DRE60_BABATUNJI013,7535.863047698664
DRF03_BABATUNJI018,2849.153004113803
DRF03_BABATUNJI027,8322.481346585313
DRF03_BABATUNJI035,3881.111774044871
DRF03_BABATUNJI045,3880.327412780715
DRF03_BABATUNJI046,3086.9496965390017
DRF03_BABATUNJI049,3291.077951617338
DRF25_BABATUNJI019,1419.488799310595
DRF25_BABATUNJI027,8218.56828833998
DRF25_BABATUNJI035,4004.65923065316
DRF25_BABATUNJI045,3799.1552600884447
DRF25_BABATUNJI046,3213.0003842592805
DRF25_BABATUNJI049,3402.791254094812
DRF36_BABATUNJI010,4164.096749878106
DRF37_BABATUNJI013,8557.302049321122
DRF37_BABATUNJI018,9386.78997266672
DRF37_BABATUNJI035,11290.906966656423
DRF37_BABATUNJI045,9643.970324880933
DRF49_BABATUNJI035,4844.772515876194
DRF49_BABATUNJI045,4800.666390333603
DRF51_BABATUNJI018,2590.387816728253
DRF51_BABATUNJI045,3883.2964995128423
DRF51_BABATUNJI046,3162.302161505903
DRF60_BABATUNJI018,8697.070701343753
DRF60_BABATUNJI049,9763.880535820941
DRG01_BABATUNJI019,1382.3529060492554
DRG01_BABATUNJI027,8305.581950653115
DRG01_BABATUNJI035,4470.814790450897
DRG01_BABATUNJI046,3731.7559300858748
DRG11_BABATUNJI045,4605.814121146002
DRG15_BABATUNJI017,3812.8545546041714
DRG15_BABATUNJI035,3861.0438946592417
DRG15_BABATUNJI045,3850.751256991373
DRG15_BABATUNJI046,3084.9530049782334
DRG15_BABATUNJI049,3403.6284888561145
DRG25_BABATUNJI013,7010.632659666597
DRG27_BABATUNJI018,2824.0565563403884
DRG27_BABATUNJI019,1214.0833787217357
DRG27_BABATUNJI045,3820.7386564719636
DRG27_BABATUNJI046,3151.1424998062166
DRG27_BABATUNJI049,3416.9869011478177
DRG36_BABATUNJI013,6155.610178189141
DRG39_BABATUNJI018,3082.405702918317
DRG39_BABATUNJI046,3301.296622053525
DRG39_BABATUNJI049,3227.4138543892973
DRG49_BABATUNJI010,5490.772687219246
DRG49_BABATUNJI018,8876.451838118699
DRH03_BABATUNJI018,3470.55890671238
DRH03_BABATUNJI019,1503.6326376782758
DRH03_BABATUNJI035,4968.229282388886
DRH11_BABATUNJI027,8002.665303045747
DRH11_BABATUNJI045,3882.81244562747
DRH11_BABATUNJI049,3487.7257585710176
DRH13_BABATUNJI019,1403.8592025113321
DRH13_BABATUNJI045,4768.876274894491
DRH15_BABATUNJI018,2949.3632426688127
DRH15_BABATUNJI019,1328.125166536108
DRH15_BABATUNJI046,3237.550507268371
DRH23_BABATUNJI017,4013.065141001121
DRH23_BABATUNJI019,1511.5620508519962
DRH23_BABATUNJI045,3870.277766259735
DRH23_BABATUNJI049,3829.9955661077925
DRH25_BABATUNJI017,4313.1436640913
DRH25_BABATUNJI027,8532.910809572137
DRH25_BABATUNJI035,4232.025475577329
DRH25_BABATUNJI045,4131.2601213221305
DRH36_BABATUNJI017,4174.311626982851
DRH36_BABATUNJI019,1514.0833985911945
DRH36_BABATUNJI035,4627.136751382401
DRH36_BABATUNJI045,4271.630068625765
DRH36_BABATUNJI046,3721.5082534687344
DRH39_BABATUNJI017,4190.805215473813
