Place_ID X Date,target
0OS9LVX X 2020-01-02,41.58437979990184
0OS9LVX X 2020-01-03,35.2336240688217
0OS9LVX X 2020-01-04,36.31667438965908
0OS9LVX X 2020-01-05,36.60787192939261
0OS9LVX X 2020-01-06,32.040880617221525
0OS9LVX X 2020-01-07,32.79413464790533
0OS9LVX X 2020-01-08,40.141644997653586
0OS9LVX X 2020-01-09,37.521237281376536
0OS9LVX X 2020-01-10,39.12592848931049
0OS9LVX X 2020-01-11,44.81939923268639
0OS9LVX X 2020-01-12,44.952712259877416
0OS9LVX X 2020-01-13,54.35091961161234
0OS9LVX X 2020-01-14,40.457007783470566
0OS9LVX X 2020-01-15,55.84160263912102
0OS9LVX X 2020-01-16,51.54939654753536
0OS9LVX X 2020-01-17,49.286625914592896
0OS9LVX X 2020-01-18,43.31891318199762
0OS9LVX X 2020-01-19,39.905681448893304
0OS9LVX X 2020-01-20,35.772645856478285
0OS9LVX X 2020-01-21,38.07134733928137
0OS9LVX X 2020-01-22,38.51429541747197
0OS9LVX X 2020-01-23,26.64975181134668
0OS9LVX X 2020-01-24,24.14637996796806
0OS9LVX X 2020-01-25,25.190085988445592
0OS9LVX X 2020-01-26,28.495292378307784
0OS9LVX X 2020-01-27,33.080741010966015
0OS9LVX X 2020-01-28,37.51151092149966
0OS9LVX X 2020-01-29,36.679866525344295
0OS9LVX X 2020-01-30,36.89600501192406
0OS9LVX X 2020-01-31,38.348752681301676
0OS9LVX X 2020-02-01,37.741295963876524
0OS9LVX X 2020-02-02,41.95225743683127
0OS9LVX X 2020-02-03,37.59792225332499
0OS9LVX X 2020-02-04,40.59317212032745
0OS9LVX X 2020-02-05,37.22999445666802
0OS9LVX X 2020-02-06,37.47044784032667
0OS9LVX X 2020-02-07,37.10348983962532
0OS9LVX X 2020-02-08,42.00574518154595
0OS9LVX X 2020-02-09,48.39346042873639
0OS9LVX X 2020-02-10,44.9534193898924
0OS9LVX X 2020-02-11,47.55132770640143
0OS9LVX X 2020-02-12,37.85122897082025
0OS9LVX X 2020-02-13,36.38895462759081
0OS9LVX X 2020-02-14,35.12196608705092
0OS9LVX X 2020-02-15,34.626266435329626
0OS9LVX X 2020-02-16,35.551043557020584
0OS9LVX X 2020-02-17,35.533390204962096
0OS9LVX X 2020-02-18,36.68786474931608
0OS9LVX X 2020-02-19,38.702621605636075
0OS9LVX X 2020-02-20,39.826360397472996
0OS9LVX X 2020-02-21,35.72747807032925
0OS9LVX X 2020-02-22,38.99851273608677
0OS9LVX X 2020-02-23,34.10522355757511
0OS9LVX X 2020-02-24,31.22484983739231
0OS9LVX X 2020-02-25,32.79771584883438
0OS9LVX X 2020-02-26,34.59844631583228
0OS9LVX X 2020-02-27,36.12117163161437
0OS9LVX X 2020-02-28,38.39674608774222
0OS9LVX X 2020-02-29,35.06414745594668
0OS9LVX X 2020-03-01,31.733950146158666
0OS9LVX X 2020-03-02,35.02174219299612
0OS9LVX X 2020-03-03,38.40315050919185
0OS9LVX X 2020-03-04,44.67168785961863
0OS9LVX X 2020-03-05,45.04818785208895
0OS9LVX X 2020-03-06,40.824630749292176
0OS9LVX X 2020-03-07,44.31920111704249
0OS9LVX X 2020-03-08,38.79168186276352
0OS9LVX X 2020-03-09,35.758039715302054
0OS9LVX X 2020-03-10,33.41730910150162
0OS9LVX X 2020-03-11,33.33871977283201
0OS9LVX X 2020-03-12,35.447059828516885
0OS9LVX X 2020-03-13,37.5861275518649
0OS9LVX X 2020-03-14,40.06290572981528
0OS9LVX X 2020-03-15,37.70217151750294
0OS9LVX X 2020-03-16,39.666349397964886
0OS9LVX X 2020-03-17,32.661524256825324
0OS9LVX X 2020-03-18,41.31594730858759
0OS9LVX X 2020-03-19,35.10879158605035
0OS9LVX X 2020-03-20,33.57592562422969
0OS9LVX X 2020-03-21,28.025372163228987
0OS9LVX X 2020-03-22,35.6235942739894
0OS9LVX X 2020-03-23,43.68919225706773
0OS9LVX X 2020-03-24,46.20834957903132
0OS9LVX X 2020-03-25,44.56337675521191
0OS9LVX X 2020-03-26,41.55873534983769
0OS9LVX X 2020-03-27,36.194297149446065
0OS9LVX X 2020-03-28,44.39743977766738
0OS9LVX X 2020-03-29,46.8199917005292
0OS9LVX X 2020-03-30,48.513842505722714
0OS9LVX X 2020-03-31,52.617032185772146
0OS9LVX X 2020-04-01,45.978060940021614
0OS9LVX X 2020-04-02,42.41812457419203
0OS9LVX X 2020-04-03,45.44783671517267
0OS9LVX X 2020-04-04,68.41092863159857
0Q2LTOG X 2020-01-02,124.47981835903697
0Q2LTOG X 2020-01-03,103.56216052683699
0Q2LTOG X 2020-01-04,120.74774183006535
0Q2LTOG X 2020-01-05,91.56104694601922
0Q2LTOG X 2020-01-06,68.70097585569948
0Q2LTOG X 2020-01-07,63.834192219495044
0Q2LTOG X 2020-01-08,37.216752252416995
0Q2LTOG X 2020-01-09,90.65712250480999
0Q2LTOG X 2020-01-10,119.98563157894736
0Q2LTOG X 2020-01-11,137.52258285279746
0Q2LTOG X 2020-01-12,76.29055569756393
0Q2LTOG X 2020-01-13,51.71768227924265
0Q2LTOG X 2020-01-14,115.57386111111111
0Q2LTOG X 2020-01-15,99.62827046783626
0Q2LTOG X 2020-01-16,93.35250868429338
0Q2LTOG X 2020-01-17,150.63362626262628
0Q2LTOG X 2020-01-18,92.20415707712458
0Q2LTOG X 2020-01-19,139.12557125992348
0Q2LTOG X 2020-01-20,143.97765223568763
0Q2LTOG X 2020-01-21,119.4224926900585
0Q2LTOG X 2020-01-22,138.2310707070707
0Q2LTOG X 2020-01-23,116.84220761317117
0Q2LTOG X 2020-01-24,109.80798937401363
0Q2LTOG X 2020-01-25,94.85008706904918
0Q2LTOG X 2020-01-26,120.09767710713541
0Q2LTOG X 2020-01-27,55.03659549896735
0Q2LTOG X 2020-01-28,72.6417469098839
0Q2LTOG X 2020-01-29,80.82036301857197
0Q2LTOG X 2020-01-30,125.9239023614747
0Q2LTOG X 2020-01-31,145.4724666737559
0Q2LTOG X 2020-02-01,117.90579579053845
0Q2LTOG X 2020-02-02,118.76711221703707
0Q2LTOG X 2020-02-03,82.55214570552391
0Q2LTOG X 2020-02-04,100.79763227513227
0Q2LTOG X 2020-02-05,53.524965755554184
0Q2LTOG X 2020-02-06,91.13138636363637
0Q2LTOG X 2020-02-07,106.84838888888888
0Q2LTOG X 2020-02-08,88.53955337613745
0Q2LTOG X 2020-02-09,84.05068810618779
0Q2LTOG X 2020-02-10,125.87364585735794
0Q2LTOG X 2020-02-11,106.6586047979798
0Q2LTOG X 2020-02-12,66.39260050929398
0Q2LTOG X 2020-02-13,112.64454651197744
0Q2LTOG X 2020-02-14,128.77605158730157
0Q2LTOG X 2020-02-15,65.48478244611991
0Q2LTOG X 2020-02-16,38.10033935565287
0Q2LTOG X 2020-02-17,36.07092190853368
0Q2LTOG X 2020-02-18,71.93873076712758
0Q2LTOG X 2020-02-19,96.74108173001258
0Q2LTOG X 2020-02-20,119.40836868686868
0Q2LTOG X 2020-02-21,90.91412415341428
0Q2LTOG X 2020-02-22,85.61269542859445
0Q2LTOG X 2020-02-23,75.06563723512012
0Q2LTOG X 2020-02-24,79.9672440027139
0Q2LTOG X 2020-02-25,56.11447365070351
0Q2LTOG X 2020-02-26,68.2637446116948
0Q2LTOG X 2020-02-27,120.76492409143145
0Q2LTOG X 2020-02-28,89.27624892641644
0Q2LTOG X 2020-02-29,90.98413059163059
0Q2LTOG X 2020-03-01,69.93747855452439
0Q2LTOG X 2020-03-02,69.9078357133063
0Q2LTOG X 2020-03-03,94.3525512481366
0Q2LTOG X 2020-03-04,75.74572249235885
0Q2LTOG X 2020-03-05,85.50644459061054
0Q2LTOG X 2020-03-06,99.07303631138977
0Q2LTOG X 2020-03-07,88.13541666666667
0Q2LTOG X 2020-03-08,109.27238298275799
0Q2LTOG X 2020-03-09,120.72995807127882
0Q2LTOG X 2020-03-10,55.00093704277281
0Q2LTOG X 2020-03-11,44.63958166557011
0Q2LTOG X 2020-03-12,84.73095632246164
0Q2LTOG X 2020-03-13,70.84101912657815
0Q2LTOG X 2020-03-14,100.98299326802757
0Q2LTOG X 2020-03-15,36.266039548021475
0Q2LTOG X 2020-03-16,93.33730456349207
0Q2LTOG X 2020-03-17,90.01972091534482
0Q2LTOG X 2020-03-18,88.15910606059212
0Q2LTOG X 2020-03-19,55.41159851683942
